Epoch,Train Loss,Test Loss
0,36.52665178197225,32.78167611236572
1,32.62326834894816,31.998229370117187
2,31.96196419245402,31.35488423614502
3,31.546643441009522,31.11758088531494
4,31.260936431121827,30.90417894592285
5,31.073035794067383,30.75130705871582
6,30.89136713841756,30.563865675354005
7,30.754405594126382,30.434724320983886
8,30.63548113962809,30.28205110321045
9,30.522358870951333,30.503235786437987
10,30.479683207448325,30.211023471069335
11,30.391524956003824,30.39782650756836
12,30.347206643422446,30.120580046081542
13,30.25693721618652,30.19403380126953
14,30.25472362085978,30.132781527709962
15,30.21077759399414,30.11050190887451
16,30.158375545756023,30.13590454864502
17,30.124372835540772,29.964551258850097
18,30.070299360656737,29.965578492736817
19,30.068354257710773,29.82969590759277
